기사 제목,이모티콘 수,댓글 수,게시된 시간,기자 이름,구독 수,응원 수,이미지 title,원본기사주소
"""안 섞고 마신다"" MZ 저격…편의점 '간편 하이볼' 대세","['0', '0', '0', '0', '0']",0,오후 8:47,김형래,"1,737","1,670",SBS,https://n.news.naver.com/mnews/article/055/0001156278?sid=101
여행자보험도 진화…항목별 가입 급증,"['1', '0', '0', '0', '0']",0,오후 8:44,null,0,0,한국경제TV,https://n.news.naver.com/mnews/article/215/0001162573?sid=101
그래픽카드 구하려 PC 해외직구…품귀에 AI 연구 '비상',"['2', '0', '2', '0', '1']",9,오후 8:44,홍영재,"1,363","2,556",SBS,https://n.news.naver.com/mnews/article/055/0001156277?sid=101
“소리질러 볼까”… KT 야구장 찾은 난청 아동 가족,"['0', '0', '0', '0', '0']",0,오후 8:44,null,0,0,세계일보,https://n.news.naver.com/mnews/article/022/0003934188?sid=101
"강원랜드, 모바일 카지노 발권시스템 도입..고객 불편 개선","['1', '0', '0', '0', '0']",1,오후 8:42,함영훈,"6,438","13,643",헤럴드경제,https://n.news.naver.com/mnews/article/016/0002310553?sid=101
"""귀국 축하금 쏜다"" 100만 가입…과열되자 여행보험 점검","['1', '3', '0', '2', '1']",9,오후 8:39,고정현,"1,675","3,581",SBS,https://n.news.naver.com/mnews/article/055/0001156276?sid=101
"저비용항공사, 수하물요금 인상 ‘러시’","['0', '0', '0', '0', '0']",0,오후 8:37,채명준,413,461,세계일보,https://n.news.naver.com/mnews/article/022/0003934187?sid=101
"개인정보위, 유엔과 AI 안전한 활용 논의","['0', '0', '0', '0', '0']",1,오후 8:37,이병훈,821,403,세계일보,https://n.news.naver.com/mnews/article/022/0003934186?sid=101
“기회의 땅에 K기업 확장 모색”… 캄보디아에 손내민 재계,"['0', '1', '0', '0', '0']",0,오후 8:36,이진경,"1,876",577,세계일보,https://n.news.naver.com/mnews/article/022/0003934185?sid=101
"삼성重, 80개 협력사와 ‘동반성장’ 다짐대회","['0', '0', '0', '0', '0']",0,오후 8:36,채명준,413,461,세계일보,https://n.news.naver.com/mnews/article/022/0003934184?sid=101
갤S24 ‘생성형 편집’으로 만든 사진에 함박웃음,"['0', '0', '0', '0', '0']",0,오후 8:35,null,0,0,세계일보,https://n.news.naver.com/mnews/article/022/0003934183?sid=101
"삼성전기, 전장용 MLCC 매출 1조 목표","['0', '0', '0', '0', '0']",1,오후 8:35,이동수,"1,221",930,세계일보,https://n.news.naver.com/mnews/article/022/0003934182?sid=101
첨단산업 경쟁력 확보 석박사 인재 2000명 양성,"['0', '0', '0', '0', '0']",1,오후 8:35,이진경,"1,876",577,세계일보,https://n.news.naver.com/mnews/article/022/0003934181?sid=101
"민희진 ""두나무, 어도어 주인되면...막연한 대화였다""[전문]","['0', '1', '2', '0', '6']",10,오후 8:32,신진아,"6,068","15,112",파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005187161?sid=101
"한은, 기준금리 동결할까…성장률 상향 조정 가능성 ↑","['1', '0', '0', '0', '0']",2,오후 8:31,박재현,101,334,아시아경제,https://n.news.naver.com/mnews/article/277/0005420116?sid=101
